"location_id","location_address","city","country","continent","coordinate_id",
"1","7793 Geraldine View Apt. 184","Luisamouth","Turkmenistan","PT","1",
"2","3625 Morissette Shore Apt. 531","Gabriellatown","Peru","MX","2",
"3","5811 Eileen Vista Suite 870","Lake Lonshire","Marshall Islands","CN","3",
"4","9325 Jakayla Fort Apt. 955","McClurehaven","Montenegro","PT","4",
"5","2093 Crooks Loop Apt. 516","Hershelton","Philippines","DE","5",
"6","243 Mertz Valley","West Dulcemouth","Sudan","CA","6",
"7","245 Mabel Ferry Suite 802","Kayleeshire","Dominican Republic","IT","7",
"8","07697 Fritsch Branch","Sydniville","Oman","MX","8",
"9","0787 Wiegand Cliffs","West Keenan","Belize","CA","9",
"10","0274 Becker Wall","Danetown","Brunei Darussalam","DE","10",
